Time	DeviceID	MaterialID	State
<<<<<<< HEAD
<<<<<<< HEAD
0.731392	2	SYS	NO_GOODS->HAS_GOODS
0.731392	6	SYS	NO_GOODS->HAS_GOODS
0.731392	16	SYS	NO_GOODS->HAS_GOODS
0.731392	12	SYS	NO_GOODS->HAS_GOODS
0.731392	18	SYS	NO_GOODS->HAS_GOODS
0.731392	17	SYS	NO_GOODS->HAS_GOODS
0.731392	10	SYS	NO_GOODS->HAS_GOODS
0.731392	8	SYS	NO_GOODS->HAS_GOODS
0.731392	4	SYS	NO_GOODS->HAS_GOODS
25.7352	2	SYS	HAS_GOODS->NO_GOODS
25.7352	6	SYS	HAS_GOODS->NO_GOODS
25.7352	12	SYS	HAS_GOODS->NO_GOODS
25.7352	17	SYS	HAS_GOODS->NO_GOODS
25.7352	4	SYS	HAS_GOODS->NO_GOODS
25.7352	10	SYS	HAS_GOODS->NO_GOODS
25.7352	8	SYS	HAS_GOODS->NO_GOODS
25.7352	18	SYS	HAS_GOODS->NO_GOODS
25.7352	16	SYS	HAS_GOODS->NO_GOODS
30.7363	7	SYS	NO_GOODS->HAS_GOODS
30.7363	15	SYS	NO_GOODS->HAS_GOODS
30.7363	1	SYS	NO_GOODS->HAS_GOODS
30.7363	13	SYS	NO_GOODS->HAS_GOODS
30.7363	11	SYS	NO_GOODS->HAS_GOODS
30.7363	5	SYS	NO_GOODS->HAS_GOODS
30.7363	14	SYS	NO_GOODS->HAS_GOODS
30.7363	3	SYS	NO_GOODS->HAS_GOODS
30.7363	9	SYS	NO_GOODS->HAS_GOODS
55.738	10	SYS	NO_GOODS->HAS_GOODS
55.738	8	SYS	NO_GOODS->HAS_GOODS
55.738	12	SYS	NO_GOODS->HAS_GOODS
55.738	4	SYS	NO_GOODS->HAS_GOODS
55.738	6	SYS	NO_GOODS->HAS_GOODS
55.738	2	SYS	NO_GOODS->HAS_GOODS
55.738	1	SYS	HAS_GOODS->NO_GOODS
55.738	14	SYS	HAS_GOODS->NO_GOODS
55.738	15	SYS	HAS_GOODS->NO_GOODS
55.738	11	SYS	HAS_GOODS->NO_GOODS
55.738	13	SYS	HAS_GOODS->NO_GOODS
55.738	3	SYS	HAS_GOODS->NO_GOODS
55.738	7	SYS	HAS_GOODS->NO_GOODS
55.738	9	SYS	HAS_GOODS->NO_GOODS
