TaskID	MaterialID	Type	StartDevice	EndDevice	AssignTime	VehicleID	PickDone	DropDone	FinalTime
1	TP001	INBOUND	16	1	0.006991	6	-1	-1	-1
19	TP019	INBOUND	17	1	0.006991	0	-1	-1	-1
37	TP037	INBOUND	18	1	0.006991	1	-1	-1	-1
55	TP055	OUTBOUND	2	13	0.006991	2	-1	-1	-1
64	TP064	OUTBOUND	4	13	0.006991	3	-1	-1	-1
73	TP073	OUTBOUND	6	13	0.006991	4	-1	-1	-1
82	TP082	OUTBOUND	8	13	0.006991	5	-1	-1	-1
56	TP056	OUTBOUND	2	14	100.991	2	-1	-1	-1
2	TP002	INBOUND	16	3	110.026	6	-1	-1	-1
65	TP065	OUTBOUND	4	14	113.142	3	-1	-1	-1
91	TP091	OUTBOUND	10	13	125.366	4	-1	-1	-1
20	TP020	INBOUND	17	3	126.659	0	-1	-1	-1
74	TP074	OUTBOUND	6	14	144.878	5	-1	-1	-1
83	TP083	OUTBOUND	8	14	146.602	1	-1	-1	-1
57	TP057	OUTBOUND	2	15	189.526	2	-1	-1	-1
66	TP066	OUTBOUND	4	15	202.323	3	-1	-1	-1
21	TP021	INBOUND	17	5	212.434	0	-1	-1	-1
38	TP038	INBOUND	18	3	217.039	4	-1	-1	-1
75	TP075	OUTBOUND	6	15	228.617	5	-1	-1	-1
100	TP100	OUTBOUND	12	13	275.081	1	-1	-1	-1
58	TP058	OUTBOUND	2	13	277.63	2	-1	-1	-1
67	TP067	OUTBOUND	4	13	291.606	3	-1	-1	-1
84	TP084	OUTBOUND	8	15	296.618	6	-1	-1	-1
22	TP022	INBOUND	17	7	300.139	0	-1	-1	-1
3	TP003	INBOUND	16	5	317.808	5	-1	-1	-1
76	TP076	OUTBOUND	6	13	355.729	4	-1	-1	-1
92	TP092	OUTBOUND	10	14	364.232	1	-1	-1	-1
39	TP039	INBOUND	18	5	378.926	2	-1	-1	-1
23	TP023	INBOUND	17	9	388.079	0	-1	-1	-1
68	TP068	OUTBOUND	4	14	391.122	3	-1	-1	-1
85	TP085	OUTBOUND	8	13	414.976	6	-1	-1	-1
101	TP101	OUTBOUND	12	14	450.425	5	-1	-1	-1
93	TP093	OUTBOUND	10	15	453.584	1	-1	-1	-1
24	TP024	INBOUND	17	11	476.133	0	-1	-1	-1
59	TP059	OUTBOUND	2	14	480.06	3	-1	-1	-1
4	TP004	INBOUND	16	7	494.828	4	-1	-1	-1
86	TP086	OUTBOUND	8	14	509.894	6	-1	-1	-1
69	TP069	OUTBOUND	4	15	519.227	2	-1	-1	-1
40	TP040	INBOUND	18	7	542.827	1	-1	-1	-1
25	TP025	INBOUND	17	1	563.702	0	-1	-1	-1
60	TP060	OUTBOUND	2	15	573.761	3	-1	-1	-1
77	TP077	OUTBOUND	6	14	593.205	5	-1	-1	-1
87	TP087	OUTBOUND	8	15	605.346	6	-1	-1	-1
5	TP005	INBOUND	16	9	619.407	4	-1	-1	-1
70	TP070	OUTBOUND	4	13	637.769	2	-1	-1	-1
61	TP061	OUTBOUND	2	13	662.489	3	-1	-1	-1
41	TP041	INBOUND	18	9	663.981	1	-1	-1	-1
102	TP102	OUTBOUND	12	15	671.834	0	-1	-1	-1
78	TP078	OUTBOUND	6	15	685.073	5	-1	-1	-1
88	TP088	OUTBOUND	8	13	694.593	6	-1	-1	-1
6	TP006	INBOUND	16	11	708.309	4	-1	-1	-1
71	TP071	OUTBOUND	4	14	731.747	2	-1	-1	-1
26	TP026	INBOUND	17	3	753.234	1	-1	-1	-1
42	TP042	INBOUND	18	11	754.613	3	-1	-1	-1
79	TP079	OUTBOUND	6	13	775.056	5	-1	-1	-1
62	TP062	OUTBOUND	2	14	795.348	6	-1	-1	-1
7	TP007	INBOUND	16	1	796.097	4	-1	-1	-1
94	TP094	OUTBOUND	10	13	796.311	0	-1	-1	-1
72	TP072	OUTBOUND	4	15	821.225	2	-1	-1	-1
43	TP043	INBOUND	18	1	866.463	1	-1	-1	-1
80	TP080	OUTBOUND	6	14	867.629	3	-1	-1	-1
103	TP103	OUTBOUND	12	13	874.529	5	-1	-1	-1
63	TP063	OUTBOUND	2	15	881.567	6	-1	-1	-1
27	TP027	INBOUND	17	5	896.298	0	-1	-1	-1
95	TP095	OUTBOUND	10	14	917.175	2	-1	-1	-1
8	TP008	INBOUND	16	3	929.453	4	-1	-1	-1
81	TP081	OUTBOUND	6	15	933.228	3	-1	-1	-1
89	TP089	OUTBOUND	8	14	948.153	1	-1	-1	-1
44	TP044	INBOUND	18	3	977.278	5	-1	-1	-1
104	TP104	OUTBOUND	12	14	985.62	6	-1	-1	-1
96	TP096	OUTBOUND	10	15	1006.1	2	-1	-1	-1
28	TP028	INBOUND	17	7	1053.58	0	-1	-1	-1
105	TP105	OUTBOUND	12	15	1060.52	6	-1	-1	-1
9	TP009	INBOUND	16	5	1073.99	3	-1	-1	-1
97	TP097	OUTBOUND	10	13	1095.23	1	-1	-1	-1
45	TP045	INBOUND	18	5	1110.15	5	-1	-1	-1
90	TP090	OUTBOUND	8	15	1113.02	2	-1	-1	-1
29	TP029	INBOUND	17	9	1117.04	0	-1	-1	-1
106	TP106	OUTBOUND	12	13	1148.61	6	-1	-1	-1
