任务编号,物料编号,任务类型,起始设备,目的设备
1,TP001,INBOUND,16,1
2,TP002,INBOUND,16,3
3,TP003,INBOUND,16,5
4,TP004,INBOUND,16,7
5,TP005,INBOUND,16,9
6,TP006,INBOUND,16,11
7,TP007,INBOUND,16,1
8,TP008,INBOUND,16,3
9,TP009,INBOUND,16,5
10,TP010,INBOUND,16,7
11,TP011,INBOUND,16,9
12,TP012,INBOUND,16,11
13,TP013,INBOUND,16,1
14,TP014,INBOUND,16,3
15,TP015,INBOUND,16,5
16,TP016,INBOUND,16,7
17,TP017,INBOUND,16,9
18,TP018,INBOUND,16,11
19,TP019,INBOUND,17,1
20,TP020,INBOUND,17,3
21,TP021,INBOUND,17,5
22,TP022,INBOUND,17,7
23,TP023,INBOUND,17,9
24,TP024,INBOUND,17,11
25,TP025,INBOUND,17,1
26,TP026,INBOUND,17,3
27,TP027,INBOUND,17,5
28,TP028,INBOUND,17,7
29,TP029,INBOUND,17,9
30,TP030,INBOUND,17,11
31,TP031,INBOUND,17,1
32,TP032,INBOUND,17,3
33,TP033,INBOUND,17,5
34,TP034,INBOUND,17,7
35,TP035,INBOUND,17,9
36,TP036,INBOUND,17,11
37,TP037,INBOUND,18,1
38,TP038,INBOUND,18,3
39,TP039,INBOUND,18,5
40,TP040,INBOUND,18,7
41,TP041,INBOUND,18,9
42,TP042,INBOUND,18,11
43,TP043,INBOUND,18,1
44,TP044,INBOUND,18,3
45,TP045,INBOUND,18,5
46,TP046,INBOUND,18,7
47,TP047,INBOUND,18,9
48,TP048,INBOUND,18,11
49,TP049,INBOUND,18,1
50,TP050,INBOUND,18,3
51,TP051,INBOUND,18,5
52,TP052,INBOUND,18,7
53,TP053,INBOUND,18,9
54,TP054,INBOUND,18,11
55,TP055,OUTBOUND,2,13
56,TP056,OUTBOUND,2,14
57,TP057,OUTBOUND,2,15
58,TP058,OUTBOUND,2,13
59,TP059,OUTBOUND,2,14
60,TP060,OUTBOUND,2,15
61,TP061,OUTBOUND,2,13
62,TP062,OUTBOUND,2,14
63,TP063,OUTBOUND,2,15
64,TP064,OUTBOUND,4,13
65,TP065,OUTBOUND,4,14
66,TP066,OUTBOUND,4,15
67,TP067,OUTBOUND,4,13
68,TP068,OUTBOUND,4,14
69,TP069,OUTBOUND,4,15
70,TP070,OUTBOUND,4,13
71,TP071,OUTBOUND,4,14
72,TP072,OUTBOUND,4,15
73,TP073,OUTBOUND,6,13
74,TP074,OUTBOUND,6,14
75,TP075,OUTBOUND,6,15
76,TP076,OUTBOUND,6,13
77,TP077,OUTBOUND,6,14
78,TP078,OUTBOUND,6,15
79,TP079,OUTBOUND,6,13
80,TP080,OUTBOUND,6,14
81,TP081,OUTBOUND,6,15
82,TP082,OUTBOUND,8,13
83,TP083,OUTBOUND,8,14
84,TP084,OUTBOUND,8,15
85,TP085,OUTBOUND,8,13
86,TP086,OUTBOUND,8,14
87,TP087,OUTBOUND,8,15
88,TP088,OUTBOUND,8,13
89,TP089,OUTBOUND,8,14
90,TP090,OUTBOUND,8,15
91,TP091,OUTBOUND,10,13
92,TP092,OUTBOUND,10,14
93,TP093,OUTBOUND,10,15
94,TP094,OUTBOUND,10,13
95,TP095,OUTBOUND,10,14
96,TP096,OUTBOUND,10,15
97,TP097,OUTBOUND,10,13
98,TP098,OUTBOUND,10,14
99,TP099,OUTBOUND,10,15
100,TP100,OUTBOUND,12,13
101,TP101,OUTBOUND,12,14
102,TP102,OUTBOUND,12,15
103,TP103,OUTBOUND,12,13
104,TP104,OUTBOUND,12,14
105,TP105,OUTBOUND,12,15
106,TP106,OUTBOUND,12,13
107,TP107,OUTBOUND,12,14
108,TP108,OUTBOUND,12,15
